[{type:"wea",code:"100",belone:"ATK",name:"皮革窄衣","detail":"用皮布制造的衣服。",myclass:"broke",getMoney:"300",imgPath:"equi/100.png"},
{type:"wea",code:"142",belone:"ATK",name:"魅舞·落羽铠","detail":"后羿射日，落羽洒空。嫦娥聚织，巧夺天工。",myclass:"pink",getMoney:"1800",imgPath:"equi/142.png"},
{type:"wea",code:"143",belone:"ATK",name:"缘风·云羲甲","detail":"钟离权流传宝物之一，在阳光照射下能幻化出朦胧云气。",myclass:"pink",getMoney:"1700",imgPath:"equi/143.png"},
{type:"wea",code:"144",belone:"ATK",name:"败天·绛霄铠","detail":"色如绛霄，美轮美奂，据说制成之后连续七个满月之夜自行吸取月华，可称神物。",myclass:"pink",getMoney:"1500",imgPath:"equi/144.png"},
{type:"wea",code:"145",belone:"ATK",name:"独孤·铁壁铠","detail":"繁华事散尘念灭，流水无情草自春。唐玄宗御赐少林方丈玄正之物，以示兄弟之谊。",myclass:"pink",getMoney:"1700",imgPath:"equi/145.png"},
{type:"wea",code:"146",belone:"ATK",name:"风暴·瑶歌裳","detail":"瑶池阿母绮窗开，黄竹歌声动地哀。",myclass:"pink",getMoney:"1750",imgPath:"equi/146.png"},
{type:"wea",code:"147",belone:"ATK",name:"殇神·桑雨衫","detail":"据说为妙匠采空桑山雨桑之根编织而成，有焕发精神之奇效。",myclass:"pink",getMoney:"1800",imgPath:"equi/147.png"},
{type:"wea",code:"148",belone:"ATK",name:"★樊龙碎鳞乌金甲:","detail":":虚则欹，满则覆，中则正，此乃墨魂也。据说王羲之曾穿此作兰亭序。",myclass:"red",getMoney:"1750",imgPath:"equi/148.png"},
{type:"wea",code:"149",belone:"ATK",name:"★金玉太岁绽魂铠","detail":"全军为上，破军次之！据说乃孙武帅三万步卒入郢时所穿之甲。",myclass:"red",getMoney:"1800",imgPath:"equi/149.png"},
{type:"wea",code:"150",belone:"ATK",name:"★魔魂之狱火战衣","detail":"侠影如萍踪，剑舞虬雷动。",myclass:"red",getMoney:"2000",imgPath:"equi/150.png"},
{type:"wea",code:"151",belone:"ATK",name:"★狂岚啸天狻猊铠","detail":"相传周处屠狻猊之后以狻鳞制成此物，穿之刀枪不入坚不可摧。",myclass:"red",getMoney:"2200",imgPath:"equi/151.png"},
{type:"wea",code:"152",belone:"ATK",name:"★佛尊之圣火禅衣","detail":"一切众生如坠梦中，烦恼业障皆无所觉，沉沦苦海，生死无穷。",myclass:"red",getMoney:"2500",imgPath:"equi/152.png"},
{type:"wea",code:"153",belone:"ATK",name:"★★坤?火神铠（旷世神器）","detail":"上古时代，一个俊杰青年出身于败落世家，潜心修炼，获得火神传承，最终成为新一代火焰之神，火神铠正是他手中的至宝，数万年后，神迹不再出现，火神铠却横空出世，蕴含着火神的力量，传说得到火神铠的人，就得到了火神的部分能力。",myclass:"purple",getMoney:"2400",imgPath:"equi/153.png"},
{type:"wea",code:"154",belone:"ATK",name:"★★神谕赤龙之铠（旷世神器）","detail":"远古时代，高贵的龙族盘踞于月光龙城，龙语者潜心多年，以无数龙力贯注于奇铁之中，历经千年铸造出另外一件旷古烁今的铠甲，正是这件神谕赤龙铠，传说身穿赤龙铠的人可以大幅度提升生命力，拥有龙一般坚韧的品质",myclass:"purple",getMoney:"2500",imgPath:"equi/154.png"},
{type:"wea",code:"155",belone:"ATK",name:"★★★至尊*天狱炼魂凝血铠（旷世圣器）","detail":"当大陆沉沦在一片混沌的时候，天地初开，远古的伟大神灵创造了天地山河，以神力创造出一套混沌神器，名为天狱，喻示并象征着天狱的和平与正义，并留下了预言，当大陆上有人集齐六件天狱铠甲的时候，圣光将重临大地。",myclass:"purple",getMoney:"4000",imgPath:"equi/155.png"}]
