[{type:"wea",code:"700",belone:"ATK",name:"柳色腰带","detail":"普通粗布腰带，上面绘有河旁飘飘之柳。",myclass:"broke",getMoney:"300",imgPath:"equi/700.png"},
{type:"wea",code:"718",belone:"ATK",name:"彻地环带","detail":"由冥灵之地的物质制成的环带，灵气弥漫。",myclass:"ordin",getMoney:"650",imgPath:"equi/718.png"},
{type:"wea",code:"719",belone:"ATK",name:"雾霓带","detail":"万紫千红的云丝编制而成的霓裳腰带，传说是天女所制。",myclass:"ordin",getMoney:"700",imgPath:"equi/719.png"},
{type:"wea",code:"720",belone:"ATK",name:"六艺腰环","detail":"有一块暗红隐于其中，据说是魔界生灵用自己的血染布后缝制而成，威力无穷。",myclass:"green",getMoney:"800",imgPath:"equi/720.png"},
{type:"wea",code:"721",belone:"ATK",name:"催雪","detail":"天神与凡间女子相爱，受到天惩，满天飞雪，化成催雪腰带，灵动神秘。",myclass:"green",getMoney:"800",imgPath:"equi/721.png"},
{type:"wea",code:"722",belone:"ATK",name:"步月","detail":"据说是嫦娥奔月时落下的腰带，后羿为之取名曰步月，以作纪念。",myclass:"green",getMoney:"800",imgPath:"equi/722.png"},
{type:"wea",code:"723",belone:"ATK",name:"弦归","detail":"十二连环坞之物。",myclass:"green",getMoney:"800",imgPath:"equi/723.png"},
{type:"wea",code:"724",belone:"ATK",name:"般若鎏金带","detail":"鸟飞空中，虽有来去诸相，却无迹可觅，般若之妙义也。",myclass:"green",getMoney:"800",imgPath:"equi/724.png"},
{type:"wea",code:"725",belone:"ATK",name:"狼星铁骨带","detail":"安庆绪平日练武所穿腰带，铁骨狰狞，呼啸狼星。",myclass:"green",getMoney:"900",imgPath:"equi/725.png"},
{type:"wea",code:"726",belone:"ATK",name:"秀清绝色","detail":"秀清绝色，算何止、倾国倾城，暂回眸、万人肠断。",myclass:"green",getMoney:"900",imgPath:"equi/726.png"},
{type:"wea",code:"727",belone:"ATK",name:"清冥腰带","detail":"清冥之界，聚则为形，散则为气。",myclass:"green",getMoney:"1000",imgPath:"equi/727.png"},
{type:"wea",code:"728",belone:"ATK",name:"陀罗尼方幡","detail":"上绘有一些看不懂的梵文经咒。",myclass:"green",getMoney:"1000",imgPath:"equi/728.png"},
{type:"wea",code:"729",belone:"ATK",name:"九天白茗","detail":"据说此物乃以生长在九天之上的白茗制成，戴之百病不侵驱邪避暑。",myclass:"green",getMoney:"900",imgPath:"equi/729.png"},
{type:"wea",code:"730",belone:"ATK",name:"盘阳","detail":"传说这血带的颜色是用反抗神策的江湖英雄的血染成，红得浓黑。",myclass:"blue",getMoney:"1100",imgPath:"equi/730.png"},
{type:"wea",code:"731",belone:"ATK",name:"金宇沙芒","detail":"镶有据说来自宇宙之海的金宇沙，闪现着混沌之光。",myclass:"blue",getMoney:"1100",imgPath:"equi/731.png"},
{type:"wea",code:"732",belone:"ATK",name:"地无追双","detail":"命格无双，一统天下。",myclass:"blue",getMoney:"1100",imgPath:"equi/732.png"},
{type:"wea",code:"733",belone:"ATK",name:"拒折腰","detail":"系此腰带者，不为五斗米折腰。",myclass:"blue",getMoney:"1100",imgPath:"equi/733.png"},
{type:"wea",code:"734",belone:"ATK",name:"醉风迟","detail":"风过犹疑酝酿香，醉得凌波仙子迟。",myclass:"blue",getMoney:"1100",imgPath:"equi/734.png"},
{type:"wea",code:"735",belone:"ATK",name:"神通·萼绿带","detail":"萼绿华来无定所，杜兰香云未移时。",myclass:"blue",getMoney:"1100",imgPath:"equi/735.png"},
{type:"wea",code:"736",belone:"ATK",name:"永驻·圆悟真","detail":"见了真空空不空，圆明何处不圆通。根尘身法都无物，妙用方知与物同。",myclass:"blue",getMoney:"1100",imgPath:"equi/736.png"},
{type:"wea",code:"737",belone:"ATK",name:"金刚·梅溪玉","detail":"江南梅家家传宝物，自从梅家陷落，神策军搜而不得，后有盗墓人从梅花冢中偶然得到。",myclass:"blue",getMoney:"1200",imgPath:"equi/737.png"},
{type:"wea",code:"738",belone:"ATK",name:"摩诃·玄寂带","detail":"少林达摩堂第五任首座玄寂之物，一直收藏于达摩堂中。",myclass:"blue",getMoney:"1100",imgPath:"equi/738.png"},
{type:"wea",code:"739",belone:"ATK",name:"刹利·霁云带","detail":"万花谷花圣宇晴于揽星潭龙龟巢旁采得霁云仙花，带回聋哑村让善织之人以花汁染衣而成。”。",myclass:"blue",getMoney:"1200",imgPath:"equi/739.png"},
{type:"wea",code:"740",belone:"ATK",name:"意善·恶魔缚","detail":"这条腰带原本是用五个不同恶魔的血肉和牙齿打造而成。",myclass:"pink",getMoney:"1500",imgPath:"equi/740.png"},
{type:"wea",code:"741",belone:"ATK",name:"武宗·守护者","detail":"许多人相信，守护者的腰带上的纹饰是这位守护者为了实现自己神秘莫测的计划而建立的兄弟会的标志。",myclass:"pink",getMoney:"1500",imgPath:"equi/741.png"},
{type:"wea",code:"742",belone:"ATK",name:"修身·黑棘带","detail":"厚实的皮带上有一道道刻痕，每道刻痕都代表着一位曾被俘虏并由其家人付出大笔赎金后才被释放的敌方贵族。",myclass:"pink",getMoney:"1800",imgPath:"equi/742.png"},
{type:"wea",code:"743",belone:"ATK",name:"梵陨·梦魇束","detail":"梦魇可以轻易决定使用者的生死。因为，在极少数情况下，打开一个宝箱可能会有极其可怕的后果。",myclass:"pink",getMoney:"1700",imgPath:"equi/743.png"},
{type:"wea",code:"744",belone:"ATK",name:"趋乱·附魂带","detail":"这根腰带充满了奇异且紊乱的魔法。它扰乱了这个世界与万灵之地间的微妙平衡。一般人还是不要戴它的好。",myclass:"pink",getMoney:"1500",imgPath:"equi/744.png"},
{type:"wea",code:"745",belone:"ATK",name:"归实·通冥带","detail":"很久以前巫医们就得知一些灵魂想要拜访我们的世界，而某些材料能像一盏明灯一样指引它们。",myclass:"pink",getMoney:"1700",imgPath:"equi/745.png"},
{type:"wea",code:"746",belone:"ATK",name:"缚日·战意怒","detail":"战者，欺敌也。疑兵必乱，乱军必败。",myclass:"pink",getMoney:"1750",imgPath:"equi/746.png"},
{type:"wea",code:"747",belone:"ATK",name:"烈焰·女魔焰","detail":"以恶魔之躯为材料，在烈焰地狱的深渊中锻造。",myclass:"pink",getMoney:"1800",imgPath:"equi/747.png"},
{type:"wea",code:"748",belone:"ATK",name:"★幻彩华光金缕带:","detail":":真正理解了原始奥能界域的深邃与混沌，随之而来就只有疯狂…或是开悟。你会选择哪一个？还是说，哪一个会选你。",myclass:"red",getMoney:"1750",imgPath:"equi/748.png"},
{type:"wea",code:"749",belone:"ATK",name:"★落花逐水困情带","detail":"经历了仙塞一战后，京四郎感到一阵无比的平静感向他袭来。他闭上双眼，仿佛一切都从未改变。",myclass:"red",getMoney:"1800",imgPath:"equi/749.png"},
{type:"wea",code:"750",belone:"ATK",name:"★临凡谪仙逍遥带","detail":"得到宝物那一刻的成就感如此强烈，仿佛让人有一种天下我有的错觉。而哈林顿的护腰就能让这种错觉变为现实。",myclass:"red",getMoney:"2000",imgPath:"equi/750.png"},
{type:"wea",code:"751",belone:"ATK",name:"★奇艳之地辟灵带","detail":"圣教军霍尔曾与因霍拉、德拉肯、罗兰三位结伴而行。途中四人剧谈豪饮，分享心得。翌日，霍尔在指导其徒弟练习“正义”一技时突发灵感，随即开始对他的腰带进行改进。",myclass:"red",getMoney:"2200",imgPath:"equi/751.png"},
{type:"wea",code:"752",belone:"ATK",name:"★魔舞天狱火易带","detail":"魔舞是一名杰出的战士，因其喜欢使用正义的火焰锻造自己的铠甲而闻名，他认为这样是最有效率的。",myclass:"red",getMoney:"2500",imgPath:"equi/752.png"},
{type:"wea",code:"753",belone:"ATK",name:"★★恶魔*达拉然之眼（旷世神器）","detail":"当年，达拉然之眼回到肯瑞托手中以后，肯瑞托把它和一批恶魔一起移交到了巴拉丁要塞。最近一次恶魔造反事件以后，没人知道眼睛去了哪里+。",myclass:"purple",getMoney:"2400",imgPath:"equi/753.png"},
{type:"wea",code:"754",belone:"ATK",name:"★★死亡*齐拉尼克之链（旷世神器）","detail":"齐拉尼克遵从沃鲁斯克的指示，打造了这条腰带。在不朽之王的威名如日中天之时，敌人大多见野蛮人便望风而逃，这也让沃鲁斯克气恼不已。而有了齐拉尼克之链以后，再迅捷的敌人也逃不出沃鲁斯克的手掌心了。他更让敌人领教了胆敢挑战不朽之王或是野蛮人的国度会有何等下场",myclass:"purple",getMoney:"2500",imgPath:"equi/754.png"},
{type:"wea",code:"755",belone:"ATK",name:"★★★至尊*天狱炼魂凝血尊腰（旷世圣器）","detail":"当大陆沉沦在一片混沌的时候，天地初开，远古的伟大神灵创造了天地山河，以神力创造出一套混沌神器，名为天狱，喻示并象征着天狱的和平与正义，并留下了预言，当大陆上有人集齐六件天狱铠甲的时候，圣光将重临大地。",myclass:"purple",getMoney:"4000",imgPath:"equi/755.png"}]
