[{type:"wea",code:"300",belone:"ATK",name:"云容","detail":"云想衣裳花想容，春风拂槛露华浓。",myclass:"broke",getMoney:"300",imgPath:"equi/300.png"},
{type:"wea",code:"332",belone:"ATK",name:"无常戒指","detail":"诸行无常，是生灭法；生灭灭已，寂灭为乐”。",myclass:"blue",getMoney:"1100",imgPath:"equi/332.png"},
{type:"wea",code:"333",belone:"ATK",name:"彤华指环","detail":"据说公孙盈为情所困离家出走后曾游君山，于峰顶彤云郁结之处拾得此物，遂称“彤华”。",myclass:"blue",getMoney:"1100",imgPath:"equi/333.png"},
{type:"wea",code:"334",belone:"ATK",name:"辰电戒","detail":"藏剑山庄出品的第三批江湖制式装备。",myclass:"blue",getMoney:"1100",imgPath:"equi/334.png"},
{type:"wea",code:"335",belone:"ATK",name:"魔魂·融雪戒","detail":"春阳能融雪，旧情如何抹？。",myclass:"blue",getMoney:"1100",imgPath:"equi/335.png"},
{type:"wea",code:"336",belone:"ATK",name:"玄清·掣风戒","detail":"戴上此物，你彷佛感到连风也能抓得住。",myclass:"blue",getMoney:"1100",imgPath:"equi/336.png"},
{type:"wea",code:"337",belone:"ATK",name:"五狱·开明环","detail":"开明怒目而电视兮，貔豹吼而山裂。",myclass:"blue",getMoney:"1200",imgPath:"equi/337.png"},
{type:"wea",code:"338",belone:"ATK",name:"皇极·宗严戒","detail":"刀宗至宝，忠勇者方可得之。",myclass:"blue",getMoney:"1100",imgPath:"equi/338.png"},
{type:"wea",code:"339",belone:"ATK",name:"狂灵·辰秀戒","detail":"峭拔秀丽，行云流水，是为秀。”。",myclass:"blue",getMoney:"1200",imgPath:"equi/339.png"},
{type:"wea",code:"340",belone:"ATK",name:"太虚·苍玄泣","detail":"据说洪荒时期魑魅魍魉横行跋扈，有一青年名为苍玄有感于苍生所受之苦而悲怆泪流，上天感之变其泪为一神戒，苍玄戴之变得力大无穷后斩尽邪魔，让百姓过上了好日子。",myclass:"pink",getMoney:"1500",imgPath:"equi/340.png"},
{type:"wea",code:"341",belone:"ATK",name:"霹雳·秋水长天戒","detail":"戴上此戒，彷佛能感受到天地间生机的涌动，心灵变得怡然明净起来。",myclass:"pink",getMoney:"1500",imgPath:"equi/341.png"},
{type:"wea",code:"342",belone:"ATK",name:"修罗·落霞孤鹜戒","detail":"藏剑山庄二庄主石中剑叶晖赠与原七秀之三曲云的定情信物。情变之后，曲云弃之于西湖。",myclass:"pink",getMoney:"1800",imgPath:"equi/342.png"},
{type:"wea",code:"343",belone:"ATK",name:"豪血·寒鸦雪尽戒","detail":"轻烟老树栖寒鸦，残阳难融积雪，静修纯阳道。",myclass:"pink",getMoney:"1700",imgPath:"equi/343.png"},
{type:"wea",code:"344",belone:"ATK",name:"赤鳞·恐惊天人戒","detail":"不敢高声语，恐惊天上人。",myclass:"pink",getMoney:"1500",imgPath:"equi/344.png"},
{type:"wea",code:"345",belone:"ATK",name:"忠魂·静夜空山戒","detail":"天策神杀营统领冷天峰之戒。",myclass:"pink",getMoney:"1700",imgPath:"equi/345.png"},
{type:"wea",code:"346",belone:"ATK",name:"叹世·海生明月戒","detail":"万花谷林白轩赠与妻子苏雨鸾之戒。",myclass:"pink",getMoney:"1750",imgPath:"equi/346.png"},
{type:"wea",code:"347",belone:"ATK",name:"绝伤·江清月近戒","detail":"七秀之首叶芷青之戒，相传为扬州一巨贾所赠。",myclass:"pink",getMoney:"1800",imgPath:"equi/347.png"},
{type:"wea",code:"348",belone:"ATK",name:"★太上忘情炼心戒:","detail":":海上生明月，天涯共此时。纯阳谢云流叛师之后，李忘生在他以前的住处里寻得此戒。",myclass:"red",getMoney:"1750",imgPath:"equi/348.png"},
{type:"wea",code:"349",belone:"ATK",name:"★琼台天籁承欢戒","detail":"观冥悟玄道，保命浊情忘。永免轮回苦，真归蓬岛乡。",myclass:"red",getMoney:"1800",imgPath:"equi/349.png"},
{type:"wea",code:"350",belone:"ATK",name:"★散月寰星燃泪戒","detail":"今生未能修此事，三生路上问行藏。",myclass:"red",getMoney:"2000",imgPath:"equi/350.png"},
{type:"wea",code:"351",belone:"ATK",name:"★叠嶂狂影绝艳戒","detail":"月之虚影幻化而成的戒指，幻象挑战者的荣耀。",myclass:"red",getMoney:"2200",imgPath:"equi/351.png"},
{type:"wea",code:"352",belone:"ATK",name:"★飘雪荡世离戌戒","detail":"昆夷道远不复通，世传切玉谁能穷。宝刀近出日本国，越贾得之沧海东。鱼皮装贴香木鞘，黄白闲杂鍮与铜。百金传入好事手，佩服可以禳妖凶。",myclass:"red",getMoney:"2500",imgPath:"equi/352.png"},
{type:"wea",code:"353",belone:"ATK",name:"★★魅惑正义（旷世神器）","detail":"铸造这枚戒指的目的只有一个：毁灭邪恶。 虽然它是把强大的武器，“苍白的正义”却有个相当平凡的出身。",myclass:"purple",getMoney:"2400",imgPath:"equi/353.png"},
{type:"wea",code:"354",belone:"ATK",name:"★★神圣复仇者*卡索弥尔（旷世神器）","detail":"卡索弥尔是一把传奇戒指，也许是费伦最具威力的戒指之一，不过它的来源和历史已经完全被遗忘。这枚戒指永远也不会令今天所要面对的挣扎显得不重要。它具有美德的本质，只有圣武士才能使用它。当这枚戒指出世时，王国中的邪恶确实应该靠边站，他们的法术只要一句话就会被击散，而且可以轻易抵抗他们的魔法。卡索弥尔也对邪恶和混乱的力量尤其厌恶，这类的生物必须小心它在战斗中造成的额外伤害",myclass:"purple",getMoney:"2500",imgPath:"equi/354.png"},
{type:"wea",code:"355",belone:"ATK",name:"★★★戮魔*岁月链枷（旷世圣器）","detail":"德阿尼斯爵士使用这把梿枷很长一段时间，那是在他冒险的年少时期。它一直被拆开来收藏，个别部分被存放在不同的位置，只有在紧急时刻才使用。德阿尼斯爵士可能担心这枚戒指组合起来时所散发出来的强大魔法，他的担心是对的。在历史上，它带来过一连串的毁灭，而且直接影响原来的拥有者。这把梿枷是好战的罗煞妖所造，此族性好报复，吃人肉，而且这枚戒指适用于任何战役。在一次特别猛烈的冲突当中，这把梿枷遗失了，直到他们利用魔法找出其位置，才把它找回来。他们发现这枚戒指已经落入一位伟大的人类战士手中，随之而来的战斗更是惨烈异常。此后他们以这个物品作为诱饵，一次又一次地“遗失”它。强大的物品受强大的人所吸引，而强大的英雄则在最光荣的战役中大放异彩。",myclass:"purple",getMoney:"4000",imgPath:"equi/355.png"}]
