[{type:"wea",code:"500",belone:"ATK",name:"侍君","detail":"据说此乃魏征之物。",myclass:"broke",getMoney:"300",imgPath:"equi/500.png"},
{type:"wea",code:"527",belone:"ATK",name:"寒霜裤","detail":"元灵护裤上附着黄帝之母的魂魄，有闪电星茫着于其上。",myclass:"green",getMoney:"1000",imgPath:"equi/527.png"},
{type:"wea",code:"528",belone:"ATK",name:"元灵裤","detail":"羁客莫忆天竺乡，断雁西风又一年。",myclass:"green",getMoney:"1000",imgPath:"equi/528.png"},
{type:"wea",code:"529",belone:"ATK",name:"地皇裤","detail":"相传乃四御之一后土神之物，古朴厚重。",myclass:"green",getMoney:"900",imgPath:"equi/529.png"},
{type:"wea",code:"530",belone:"ATK",name:"七星裤","detail":"紫气缠绕，给穿戴者带来神秘的力量。",myclass:"blue",getMoney:"1100",imgPath:"equi/530.png"},
{type:"wea",code:"531",belone:"ATK",name:"傲凰裤","detail":"傲凰鸣泣，滴血于丝制成护裤，异常轻薄，奇珍异宝。",myclass:"blue",getMoney:"1100",imgPath:"equi/531.png"},
{type:"wea",code:"532",belone:"ATK",name:"引凤裤","detail":"带有沉香的味道，据说可引来凤凰，仿若仙界之物。",myclass:"blue",getMoney:"1100",imgPath:"equi/532.png"},
{type:"wea",code:"533",belone:"ATK",name:"浴火天裤","detail":"涅槃凤羽，神火降世，护佑之力非凡。",myclass:"blue",getMoney:"1100",imgPath:"equi/533.png"},
{type:"wea",code:"534",belone:"ATK",name:"沐水天肩","detail":"传说可映出沐羽神鸟的神奇天肩，世之罕见。",myclass:"blue",getMoney:"1100",imgPath:"equi/534.png"},
{type:"wea",code:"535",belone:"ATK",name:"伏虎·一阐提","detail":"据说天竺菩提会掌会摩提耶罗曾于昆仑山死亡谷内打开一石闸后，顿时感到一阵冰冷刺骨的寒意扑面而来，彷佛有无数阴魂从石洞里面汹涌而出，后在石洞中发现此物。",myclass:"blue",getMoney:"1100",imgPath:"equi/535.png"},
{type:"wea",code:"536",belone:"ATK",name:"丹心·玄羽圣","detail":"取于天上玄凤之羽制成，神秘无常，灵气逼人。",myclass:"blue",getMoney:"1100",imgPath:"equi/536.png"},
{type:"wea",code:"537",belone:"ATK",name:"弘法·幻世魔","detail":"由传说中可穿越三界的奇幻材料制成，非凡间之物，罕得之。",myclass:"blue",getMoney:"1200",imgPath:"equi/537.png"},
{type:"wea",code:"538",belone:"ATK",name:"般若·恶疮裤","detail":"用处理过的瘟疫患者的皮而制成。",myclass:"blue",getMoney:"1100",imgPath:"equi/538.png"},
{type:"wea",code:"539",belone:"ATK",name:"浮屠·深渊裤","detail":"盗古墓者必穿之物。”。",myclass:"blue",getMoney:"1200",imgPath:"equi/539.png"},
{type:"wea",code:"540",belone:"ATK",name:"无殇·傀儡裤","detail":"披上傀儡的血肉，你愈发感受到了它们的共鸣。",myclass:"pink",getMoney:"1500",imgPath:"equi/540.png"},
{type:"wea",code:"541",belone:"ATK",name:"摩尼·沼地装","detail":"特别为适应沼泽地的严苛环境而制作。",myclass:"pink",getMoney:"1500",imgPath:"equi/541.png"},
{type:"wea",code:"542",belone:"ATK",name:"华严·亵渎者","detail":"如黑夜般穿行。",myclass:"pink",getMoney:"1800",imgPath:"equi/542.png"},
{type:"wea",code:"543",belone:"ATK",name:"释心·欺诈者","detail":"这条长裤源自于一个愚蠢的人类与恶魔斯科隆所订下的不幸约定。",myclass:"pink",getMoney:"1700",imgPath:"equi/543.png"},
{type:"wea",code:"544",belone:"ATK",name:"正意·汉默裤","detail":"停！汉默上场了。",myclass:"pink",getMoney:"1500",imgPath:"equi/544.png"},
{type:"wea",code:"545",belone:"ATK",name:"威德·猎灭生","detail":"哪怕是逃到天涯海角，娜塔亚的猎物也逃不出她的追捕。",myclass:"pink",getMoney:"1700",imgPath:"equi/545.png"},
{type:"wea",code:"546",belone:"ATK",name:"血海·信仰者","detail":"愿圣教军的双腿能被具有不可思议之力的板甲包裹。因为他们的步伐终将带领他们走向萨卡兰姆信仰的拯救之地。也因此，阿卡拉特的教义将被净化。",myclass:"pink",getMoney:"1750",imgPath:"equi/546.png"},
{type:"wea",code:"547",belone:"ATK",name:"释尊·骷髅腿","detail":"这件防护性的盔甲上用充满艺术感的手法镶嵌了来自许多不同生物的白骨，是拉斯玛亲自设计的。",myclass:"pink",getMoney:"1800",imgPath:"equi/547.png"},
{type:"wea",code:"548",belone:"ATK",name:"★业障之蕾蔻守护:","detail":":这件可怕的腿甲曾属于强大的乔瑞茨。在其英年早逝之后，妻子蕾蔻终其一生都穿着亡夫的牛皮马裤冲锋陷阵。",myclass:"red",getMoney:"1750",imgPath:"equi/548.png"},
{type:"wea",code:"549",belone:"ATK",name:"★威仪之不朽之王","detail":"为纪念沃鲁斯克加冕为不朽之王而打造，他是自布尔凯索统一野蛮人部族之后史上首位也是唯一一位获此殊荣的野蛮人君王。",myclass:"red",getMoney:"1800",imgPath:"equi/549.png"},
{type:"wea",code:"550",belone:"ATK",name:"★魔魂之狱火战衣","detail":"侠影如萍踪，剑舞虬雷动。",myclass:"red",getMoney:"2000",imgPath:"equi/150.png"},
{type:"wea",code:"551",belone:"ATK",name:"★澄心之妖法魅惑","detail":"这件裤子做工精美，曾是声名狼藉（但衣着酷帅有型）的附魔师杨先生当年在游历威斯特玛时所穿之物。缺乏耐心且行事冲动的杨先生总是一头栽进险境，这显然不是法师应有的生存之道。然而，聪明过人的杨先生设计了这件裤子，把自己的缺点转化成了优势。",myclass:"red",getMoney:"2200",imgPath:"equi/551.png"},
{type:"wea",code:"552",belone:"ATK",name:"★御剑之死神赌注","detail":"据传，这件恶毒的马裤是某人在一场赌局中从马萨伊尔本尊那里赢来的。尽管这裤子能让人在战斗中占尽先机，但它会不停地汲取周围人的生命力，当初出老千的那家伙在其一家人都死后才发现了这个可怕的真相。由此可见，死亡天使是个输不起的狠角色。",myclass:"red",getMoney:"2500",imgPath:"equi/552.png"},
{type:"wea",code:"553",belone:"ATK",name:"★★冥*大地之重（旷世神器）","detail":"人人都误以为大地静止不动、亘古不易，他们却不知道大地之下奔腾的洪流，不明白它的重量，也不了解它的力量。",myclass:"purple",getMoney:"2400",imgPath:"equi/553.png"},
{type:"wea",code:"554",belone:"ATK",name:"★★齐天大圣之腿（旷世神器）","detail":"在关于孙武空数不尽的传说故事中，其中一则是他登上了果子山的第一高峰：神木峰，并在山上插了旗，宣称自己是“齐天大圣”",myclass:"purple",getMoney:"2500",imgPath:"equi/554.png"},
{type:"wea",code:"555",belone:"ATK",name:"★★★至尊*天狱炼魂凝血腿（旷世圣器）","detail":"当大陆沉沦在一片混沌的时候，天地初开，远古的伟大神灵创造了天地山河，以神力创造出一套混沌神器，名为天狱，喻示并象征着天狱的和平与正义，并留下了预言，当大陆上有人集齐六件天狱铠甲的时候，圣光将重临大地。",myclass:"purple",getMoney:"4000",imgPath:"equi/555.png"}]
