[{type:"wea",code:"400",belone:"ATK",name:"鎏金锦帽","detail":"鎏金为饰，锦绣华丽。",myclass:"broke",getMoney:"300",imgPath:"equi/400.png"},
{type:"wea",code:"414",belone:"ATK",name:"墨魂帽","detail":"虚则欹，满则覆，中则正，此乃墨魂也。据说王羲之曾穿此作兰亭序。",myclass:"ordin",getMoney:"600",imgPath:"equi/414.png"},
{type:"wea",code:"415",belone:"ATK",name:"蘅娥帽","detail":"“缓步罗袜遂生尘，一点芳心在娇眼。",myclass:"ordin",getMoney:"700",imgPath:"equi/415.png"},
{type:"wea",code:"416",belone:"ATK",name:"念尘帽","detail":"繁华事散尘念灭，流水无情草自春。唐玄宗御赐少林方丈玄正之物，以示兄弟之谊。",myclass:"ordin",getMoney:"600",imgPath:"equi/416.png"},
{type:"wea",code:"417",belone:"ATK",name:"梵音帽","detail":少林般若堂无量佛音加持之物。",myclass:"ordin",getMoney:"700",imgPath:"equi/417.png"},
{type:"wea",code:"418",belone:"ATK",name:"破军帽","detail":"全军为上，破军次之！据说乃孙武帅三万步卒入郢时所穿之甲。",myclass:"ordin",getMoney:"650",imgPath:"equi/418.png"},
{type:"wea",code:"419",belone:"ATK",name:"真王笠","detail":"相传为唐太宗李世民之物。",myclass:"ordin",getMoney:"700",imgPath:"equi/419.png"},
{type:"wea",code:"420",belone:"ATK",name:"翰雄盔","detail":"“一身转战三千里，一剑曾当百万师。据说为战国第一名将吴起征战所穿之甲。",myclass:"green",getMoney:"800",imgPath:"equi/420.png"},
{type:"wea",code:"421",belone:"ATK",name:"卿狂盔","detail":"据说是公孙二娘情场失意后云游江湖时仍采良材为柳五所制之衣物，正所谓痴心一片为卿狂。",myclass:"green",getMoney:"800",imgPath:"equi/421.png"},
{type:"wea",code:"422",belone:"ATK",name:"萍踪帽","detail":"方乾于苗疆和魔刹罗情投意合时，采苗疆特产为她所制之物。",myclass:"green",getMoney:"800",imgPath:"equi/422.png"},
{type:"wea",code:"423",belone:"ATK",name:"倾国盔","detail":"古有倾国绝色，芳容瑞丽，绛唇轻、笑歌尽雅，莲步稳、举措皆奇。倚风情态，约素腰肢。七秀偶得其遗物而珍藏之。",myclass:"green",getMoney:"800",imgPath:"equi/423.png"},
{type:"wea",code:"424",belone:"ATK",name:"妙影帽","detail":"据说乃唐门前门主唐简之物，不知为何流落万花。",myclass:"green",getMoney:"800",imgPath:"equi/424.png"},
{type:"wea",code:"425",belone:"ATK",name:"尘斯帽","detail":"相传为春秋晋国人鉏鸒预谋刺杀忠臣赵盾时所穿之衣。",myclass:"green",getMoney:"900",imgPath:"equi/425.png"},
{type:"wea",code:"426",belone:"ATK",name:"夜摩帽","detail":"夜摩乃死者之王，据说曾穿此装自舍其身入冥界，为众生求得往生之路，是为人类最初之死者。",myclass:"green",getMoney:"900",imgPath:"equi/426.png"},
{type:"wea",code:"427",belone:"ATK",name:"慧瞳巾","detail":"少林萨提院首座澄理之物。萨提之慧瞳，参见真空无相之智慧，正是佛法与武功相合之证。",myclass:"green",getMoney:"1000",imgPath:"equi/427.png"},
{type:"wea",code:"428",belone:"ATK",name:"轻胡面具","detail":"铁马轻胡，气吞万里如虎。李牧驻守雁门郡时侦查匈奴敌情时必穿此甲。",myclass:"green",getMoney:"1000",imgPath:"equi/428.png"},
{type:"wea",code:"429",belone:"ATK",name:"无撼冠","detail":"今拭青锋奋起舞，剑心难撼荡妖氛。",myclass:"green",getMoney:"900",imgPath:"equi/429.png"},
{type:"wea",code:"430",belone:"ATK",name:"玄明度天帽","detail":"玄明苦修利济功，度天之心似虚空。谢云流叛师前修道所戴之帽。",myclass:"blue",getMoney:"1100",imgPath:"equi/430.png"},
{type:"wea",code:"431",belone:"ATK",name:"暗香玉袭巾","detail":"玉袭遥知之，为有暗香来。长歌门若归之物。",myclass:"blue",getMoney:"1100",imgPath:"equi/431.png"},
{type:"wea",code:"432",belone:"ATK",name:"一枕悠然","detail":"一枕悠然逍遥游，梦醒惊觉黄粱熟。吕洞宾被钟离权以梦点化之时所戴头巾。",myclass:"blue",getMoney:"1100",imgPath:"equi/432.png"},
{type:"wea",code:"433",belone:"ATK",name:"探春彩胜","detail":"彩胜怡景观不够，独自探春醉倚石。",myclass:"blue",getMoney:"1100",imgPath:"equi/433.png"},
{type:"wea",code:"434",belone:"ATK",name:"金吾佛宝笠","detail":"五个朝向绣有大日如来圣像，熠熠生辉。",myclass:"blue",getMoney:"1100",imgPath:"equi/434.png"},
{type:"wea",code:"435",belone:"ATK",name:"玄明·度天帽","detail":"玄明苦修利济功，度天之心似虚空。谢云流叛师前修道所戴之帽。",myclass:"blue",getMoney:"1100",imgPath:"equi/435.png"},
{type:"wea",code:"436",belone:"ATK",name:"七劫·坚金冠","detail":"磨砺当如百炼坚金，急就者非邃养。",myclass:"blue",getMoney:"1100",imgPath:"equi/436.png"},
{type:"wea",code:"437",belone:"ATK",name:"毗湿·奴氎帽","detail":"很厚的帽子，上面布满了柔软的细毛。",myclass:"blue",getMoney:"1200",imgPath:"equi/437.png"},
{type:"wea",code:"438",belone:"ATK",name:"轮回·月桂盔","detail":"立向云阶，年复年，日复日，砍不断的月桂，砍不尽的孤独，一遭走错，终身弥补。莫、莫、莫。",myclass:"blue",getMoney:"1100",imgPath:"equi/438.png"},
{type:"wea",code:"439",belone:"ATK",name:"义薄·云天面","detail":"英辞润金石，高义薄云天。”。",myclass:"blue",getMoney:"1200",imgPath:"equi/439.png"},
{type:"wea",code:"440",belone:"ATK",name:"金沙·梵天冠","detail":"天竺菩提会师子光挑战少林时被渡法以燃木刀击飞之头冠，寻之已不知所踪。",myclass:"pink",getMoney:"1500",imgPath:"equi/440.png"},
{type:"wea",code:"441",belone:"ATK",name:"龙城·飞将面","detail":"为纪念飞将军李广而倾心铸造的战盔，战阵冲锋，所向披靡。",myclass:"pink",getMoney:"1500",imgPath:"equi/441.png"},
{type:"wea",code:"442",belone:"ATK",name:"烈风·锦衣冠","detail":"汹疑云涛翻，飒若鬼神趋。王遗风少年时于红尘派习武时所戴之冠。",myclass:"pink",getMoney:"1800",imgPath:"equi/442.png"},
{type:"wea",code:"443",belone:"ATK",name:"天弈·五云祥","detail":"当年有天竺高僧未出家前，头戴此冠，在寺中听经，众僧念经罢，开眼见此人冠上有五色祥云，大惊，后纳入寺中，为大德高僧，此冠也成为圣物。",myclass:"pink",getMoney:"1700",imgPath:"equi/443.png"},
{type:"wea",code:"444",belone:"ATK",name:"圣火·辰角笠","detail":"角，触也，物触地而戴芒角也。",myclass:"pink",getMoney:"1500",imgPath:"equi/444.png"},
{type:"wea",code:"445",belone:"ATK",name:"佛尊·桂帷盔","detail":"忆在山中时，丹桂花葳蕤。",myclass:"pink",getMoney:"1700",imgPath:"equi/445.png"},
{type:"wea",code:"446",belone:"ATK",name:"花落·无痕面","detail":"亚瑟王从花落处获得的无痕冠，斩无不断，持有此冠者作战时会受到胜利的祝福。",myclass:"pink",getMoney:"1750",imgPath:"equi/446.png"},
{type:"wea",code:"447",belone:"ATK",name:"天罡·龙象冠","detail":"由北斗之气中诞生，充满灵性的装备，可吸收天地精华。",myclass:"pink",getMoney:"1800",imgPath:"equi/447.png"},
{type:"wea",code:"448",belone:"ATK",name:"★三世娑婆往生束:","detail":":哀凰的鳞片打造的甲胄，上有娑婆施加的魔力，坚固无比的神奇装备，能够驱敌于无形。",myclass:"red",getMoney:"1750",imgPath:"equi/448.png"},
{type:"wea",code:"449",belone:"ATK",name:"★六觉无量功德束","detail":"上古流传下来的碎魂石制成，华丽，蕴含着神秘力量，能够聚集天地间的灵气化为己用。",myclass:"red",getMoney:"1800",imgPath:"equi/449.png"},
{type:"wea",code:"450",belone:"ATK",name:"★七劫轮回寂灭盔","detail":"蕴藏了紫薇仙术封印的世间凶恶之魂，据说此物为天界轩辕之部所有，以鸾蛟皮制成，威力不容小。",myclass:"red",getMoney:"2000",imgPath:"equi/450.png"},
{type:"wea",code:"451",belone:"ATK",name:"★八音元清净体盔","detail":"传说是骁勇的将士之血混无机之钢制成，出类拔萃，华丽且具有极强的防御力。",myclass:"red",getMoney:"2200",imgPath:"equi/451.png"},
{type:"wea",code:"452",belone:"ATK",name:"★九殿阎罗地藏盔","detail":"具有灵性的罕有之物，据传是圣兽隐狼被降伏后幻变而成，蕴涵了无穷的能量。",myclass:"red",getMoney:"2500",imgPath:"equi/452.png"},
{type:"wea",code:"453",belone:"ATK",name:"★★无尽*白昼之星（旷世神器）","detail":"无论是否特别为了侍奉托姆而制造，或者只是在教会的漫长历史之中、某个特定时刻而被锻造而成；但“忠心之怒”的圣武士们在对抗邪恶不死生物的战役里，确然使得“白昼之星”得以声名大噪。透过魔法或祝福，使它能够施展阳炎大法；这是一种纯粹的生命能量，威能极为强大，可以杀死活者和死者。",myclass:"purple",getMoney:"2400",imgPath:"equi/453.png"},
{type:"wea",code:"454",belone:"ATK",name:"★★冥龙*龙息战盔（旷世神器）","detail":"为了利用伟大生物的力量，多年前法师乌里恩建立了一个拜龙的宗教，名叫“德拉哥之子”。他用冒险来吸引信徒，企图将这把象徵性的武器施法，给他的保镳价拉默·包德使用，以巩固他的权力。当龙息战戟击中敌人时，它会释出红龙的烈焰、绿龙的毒气、蓝龙的闪电、黑龙的酸液，以及白龙的寒冷。不幸的是，乌里恩是第一个尝到它的效果的人－野心勃勃想要统治的价拉默杀了他。若是没有这名法师，这个宗教就没有什么真正的力量，所以很快就瓦解了",myclass:"purple",getMoney:"2500",imgPath:"equi/454.png"},
{type:"wea",code:"455",belone:"ATK",name:"★★★至尊*天狱炼魂凝血尊束（旷世圣器）","detail":"当大陆沉沦在一片混沌的时候，天地初开，远古的伟大神灵创造了天地山河，以神力创造出一套混沌神器，名为天狱，喻示并象征着天狱的和平与正义，并留下了预言，当大陆上有人集齐六件天狱铠甲的时候，圣光将重临大地。",myclass:"purple",getMoney:"4000",imgPath:"equi/455.png"}]
